shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s2_shot_13,95.2,19.6,-1.1,5610,12.2,123.6,125.3,-1.7,127.1,1.8,131.7,128.7,3.0,8.1,3.4,4.7,52.5,58.4,-5.9,I-S2-V2-P3,3.5,regime,true,pass
5iron,102.1,17.4,1.5,5391,12.3,139.7,138.1,1.6,143.7,5.6,154.3,142.2,12.1,14.6,4.1,10.5,64.6,59.6,5.0,I-S2-V1-P2,4.0,regime,true,severe
s3_shot_7i_33,92.4,17.0,-0.6,3852,2.8,118.1,119.7,-1.6,118.1,-1.6,126.7,128.0,-1.3,8.6,8.3,0.3,46.7,42.0,4.7,I-S2-V1-P1,,,false,pass
s3_shot_9i_8,92.2,21.9,-6.3,5042,0.7,121.3,122.9,-1.6,121.3,-1.6,130.5,126.4,4.1,9.2,3.5,5.7,61.1,62.6,-1.5,I-S2-V2-P2,,,false,pass
s3_shot_9i_3,90.1,21.7,2.8,5243,11.2,115.9,117.3,-1.4,115.9,-1.4,121.8,120.7,1.1,5.9,3.4,2.5,52.4,57.7,-5.3,I-S2-V2-P2,,,false,pass
s3_shot_5i_12,74.2,10.2,-1.7,3321,15.8,59.6,58.4,1.2,59.6,1.2,58.4,81.9,-23.5,-1.2,23.5,-24.7,10.5,9.4,1.1,I-S1-V1-P1,,,false,severe
s3_shot_6i_40,62.1,6.8,27.0,2768,30.0,25.0,26.2,-1.2,25.0,-1.2,58.9,51.1,7.8,33.9,24.9,9.0,2.6,2.5,0.1,I-S1-V0-P1,,,false,moderate
s3_shot_6i_44,115.0,9.5,-6.7,2314,15.1,141.1,142.3,-1.2,141.1,-1.2,140.8,168.2,-27.4,-0.3,25.9,-26.2,25.3,26.6,-1.3,D-S3-V0-P0,,,false,severe
s3_shot_9i_9,90.1,22.1,-3.1,5351,1.2,116.9,118.1,-1.2,116.9,-1.2,123.0,121.1,1.9,6.1,3.0,3.1,54.0,60.1,-6.1,I-S2-V2-P2,,,false,pass
s2_shot_18,105.7,20.5,-1.7,5667,8.2,147.9,146.8,1.1,151.9,5.1,166.0,149.4,16.6,18.1,2.6,15.5,83.5,80.4,3.1,I-S3-V2-P3,4.0,regime,true,severe
s3_shot_3w_21,119.4,5.3,-3.4,1760,-10.5,115.7,114.6,1.1,115.7,1.1,177.1,160.5,16.6,61.4,45.9,15.5,11.2,10.9,0.3,D-S3-V0-P0,,,false,severe
s3_shot_5i_16,98.0,9.1,-2.1,3776,1.7,110.2,109.1,1.1,110.2,1.1,109.2,130.0,-20.8,-1.0,20.9,-21.9,19.5,19.7,-0.2,I-S2-V0-P1,,,false,severe
s3_shot_6i_42,77.2,13.1,-3.4,4057,4.1,75.5,76.6,-1.1,75.5,-1.1,75.5,92.9,-17.4,0.0,16.3,-16.3,18.3,17.5,0.8,I-S1-V1-P2,,,false,severe
s3_shot_9i_7,83.0,22.5,5.3,7008,9.7,102.2,101.1,1.1,102.2,1.1,104.2,102.6,1.6,2.0,1.5,0.5,47.3,51.5,-4.2,I-S1-V2-P3,,,false,pass
drive_test_shot,150.0,12.5,1.5,2335,-9.9,245.0,244.0,1.0,245.0,1.0,256.8,256.0,0.8,11.8,12.0,-0.2,80.0,80.6,-0.6,D-S4-V1-P0,,,false,pass
s3_shot_7i_29,107.6,13.8,-6.0,3633,4.7,149.4,148.4,1.0,149.4,1.0,152.5,158.3,-5.8,3.1,9.9,-6.8,42.8,46.3,-3.5,I-S3-V1-P1,,,false,moderate
s3_shot_driver_54,121.5,12.9,-5.3,3411,-10.0,177.2,178.2,-1.0,183.6,5.4,188.7,188.7,0.0,11.5,10.5,1.0,54.3,56.5,-2.2,D-S4-V1-P1,6.4,regime,true,pass
flop_test_shot,68.0,45.0,0.5,12000,0.8,62.7,61.8,0.9,62.7,0.9,63.1,60.3,2.8,0.4,-1.5,1.9,69.2,76.8,-7.6,W-S1-V4-P4,,,false,pass
s3_shot_driver_59,81.0,44.9,8.9,6735,12.4,82.8,83.7,-0.9,82.8,-0.9,100.9,83.2,17.7,18.1,-0.5,18.6,104.0,107.8,-3.8,W-S1-V4-P3,,,false,severe
driver3,119.1,16.0,-8.9,4935,-9.4,173.3,174.1,-0.8,180.3,6.2,201.8,178.5,23.3,28.5,4.4,24.1,99.6,78.5,21.1,D-S3-V1-P2,7.0,regime,true,severe
s3_shot_3w_23,115.8,8.9,-0.8,2804,2.2,148.5,147.7,0.8,148.5,0.8,148.2,170.9,-22.7,-0.3,23.2,-23.5,26.8,28.0,-1.2,D-S3-V0-P1,,,false,severe
driver4,119.0,15.5,-10.2,4454,-7.8,176.3,175.6,0.7,183.3,7.7,197.2,180.9,16.3,20.9,5.3,15.6,78.2,73.8,4.4,D-S3-V1-P2,7.0,regime,true,severe
s2_shot_22,123.3,14.0,-6.1,3104,10.0,184.7,185.4,-0.7,191.1,5.7,199.0,195.5,3.5,14.3,10.1,4.2,61.6,63.0,-1.4,D-S4-V1-P1,6.4,regime,true,pass
