shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_3w_35,107.0,10.7,9.5,3700,15.5,I-S3-V1-P1,115-150,133.3,134.5,-1.2,133.3,-1.2,133.2,151.6,-18.4,-0.1,17.1,-17.2,28.1,31.0,-2.9,,,,false,severe
shot_3w_36,128.3,9.5,-2.9,2614,-6.8,D-S4-V0-P1,180-200,177.1,180.9,-3.8,177.1,-3.8,178.0,199.7,-21.7,0.9,18.8,-17.9,37.2,39.9,-2.7,,,,false,severe
shot_3w_37,100.9,23.6,6.4,7893,7.2,I-S2-V2-P4,115-150,136.4,131.0,5.4,136.4,5.4,143.8,131.7,12.1,7.4,0.7,6.7,77.9,87.5,-9.6,,,,false,severe
shot_3w_38,130.1,7.9,-0.6,1997,1.8,D-S4-V0-P0,150-180,170.6,171.0,-0.4,170.6,-0.4,170.5,200.0,-29.5,-0.1,29.0,-29.1,28.9,28.9,0.0,,,,false,severe
shot_3w_39,129.9,11.9,-1.8,2965,-0.8,D-S4-V1-P1,180-200,196.6,197.1,-0.5,196.6,-0.5,202.1,208.9,-6.8,5.5,11.8,-6.3,56.6,59.4,-2.8,,,,false,moderate
shot_3w_40,116.2,14.1,0.8,3909,0.4,D-S3-V1-P1,150-180,168.3,169.4,-1.1,168.3,-1.1,174.2,177.1,-2.9,5.9,7.7,-1.8,54.6,60.2,-5.6,,,,false,pass
shot_3w_41,126.6,7.9,-0.0,2418,5.9,D-S4-V0-P0,150-180,168.4,165.8,2.6,168.4,2.6,168.3,191.8,-23.5,-0.1,26.0,-26.1,29.3,28.8,0.5,,,,false,severe
shot_6i_30,96.5,10.1,-3.5,1644,5.1,I-S2-V1-P0,<115,96.3,98.4,-2.1,96.3,-2.1,150.6,129.3,21.3,54.3,30.9,23.4,15.8,16.5,-0.7,,,,false,severe
shot_6i_31,97.9,9.4,-3.7,3752,4.5,I-S2-V0-P1,<115,109.6,109.9,-0.3,109.6,-0.3,108.6,130.4,-21.8,-1.0,20.5,-21.5,19.7,20.5,-0.8,,,,false,severe
shot_6i_32,90.2,9.7,-1.3,4135,8.0,I-S2-V0-P2,<115,97.7,93.7,4.0,97.7,4.0,97.6,113.4,-15.8,-0.1,19.7,-19.8,19.6,17.2,2.4,,,,false,severe
shot_6i_33,105.7,11.7,-1.4,3776,11.0,I-S3-V1-P1,115-150,136.3,136.7,-0.4,136.3,-0.4,136.8,151.9,-15.1,0.5,15.2,-14.7,32.3,35.0,-2.7,,,,false,severe
shot_6i_34,111.1,9.3,-8.6,2637,-2.9,D-S3-V0-P1,115-150,135.4,136.7,-1.3,135.4,-1.3,135.0,161.3,-26.3,-0.4,24.6,-25.0,24.2,25.6,-1.4,,,,false,severe
shot_7i_26,107.2,14.3,-2.9,4648,7.6,I-S3-V1-P2,115-150,150.1,147.4,2.7,150.1,2.7,160.6,153.9,6.7,10.5,6.5,4.0,61.5,51.9,9.6,,,,false,moderate
shot_7i_27,103.3,14.1,-1.8,5085,13.7,I-S2-V1-P2,115-150,142.4,136.6,5.8,142.4,5.8,150.9,142.8,8.1,8.5,6.2,2.3,54.8,46.5,8.3,,,,false,moderate
shot_7i_28,98.5,15.2,-3.4,3447,6.4,I-S2-V1-P1,115-150,129.3,129.8,-0.5,129.3,-0.5,132.5,140.3,-7.8,3.2,10.5,-7.3,38.7,40.9,-2.2,,,,false,moderate
shot_7i_29,110.0,12.9,-0.5,3297,9.0,D-S3-V1-P1,150-180,148.3,150.7,-2.4,148.3,-2.4,150.3,163.0,-12.7,2.0,12.3,-10.3,39.3,42.9,-3.6,,,,false,severe
shot_8i_22,100.8,15.6,-5.5,3498,3.5,I-S2-V1-P1,115-150,136.9,136.5,0.4,136.9,0.4,141.4,146.4,-5.0,4.5,9.9,-5.4,43.1,45.5,-2.4,,,,false,pass
shot_8i_23,109.7,18.2,-0.0,3711,5.2,I-S3-V2-P1,150-180,160.4,160.9,-0.5,160.4,-0.5,170.2,167.2,3.0,9.8,6.3,3.5,66.5,70.2,-3.7,,,,false,pass
