shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_8i_24,106.7,18.2,0.2,5797,8.8,I-S3-V2-P3,115-150,146.5,147.5,-1.0,146.5,-1.0,154.9,150.4,4.5,8.4,2.9,5.5,66.8,72.1,-5.3,,,,false,pass
shot_8i_25,97.0,18.5,-2.0,4809,4.3,I-S2-V2-P2,115-150,131.3,130.8,0.5,131.3,0.5,140.7,135.6,5.1,9.4,4.8,4.6,63.4,56.2,7.2,,,,false,moderate
shot_9i_19,101.2,20.5,-2.4,4282,5.8,I-S2-V2-P2,115-150,139.6,142.6,-3.0,139.6,-3.0,155.2,147.2,8.0,15.6,4.6,11.0,78.3,69.2,9.1,,,,false,moderate
shot_9i_20,98.5,20.4,1.4,4377,10.4,I-S2-V2-P2,115-150,133.5,136.0,-2.5,133.5,-2.5,148.8,140.8,8.0,15.3,4.8,10.5,73.8,64.1,9.7,,,,false,moderate
shot_9i_21,90.1,20.7,0.6,6342,5.1,I-S2-V2-P3,115-150,115.1,115.3,-0.2,115.1,-0.2,118.1,117.5,0.6,3.0,2.2,0.8,48.9,56.5,-7.6,,,,false,pass
shot_driver_42,136.1,8.7,-3.0,2155,-0.6,D-S4-V0-P0,180-200,192.0,193.9,-1.9,192.0,-1.9,193.0,216.9,-23.9,1.0,23.0,-22.0,38.3,39.1,-0.8,,,,false,severe
shot_driver_43,133.2,5.8,-6.6,2130,-19.7,D-S4-V0-P0,150-180,159.3,154.2,5.1,159.3,5.1,216.9,192.0,24.9,57.6,37.8,19.8,20.4,18.4,2.0,,,,false,severe
shot_driver_44,124.0,12.7,1.3,3765,2.2,D-S4-V1-P1,180-200,185.7,184.7,1.0,185.7,1.0,191.8,193.3,-1.5,6.1,8.6,-2.5,57.2,61.9,-4.7,,,,false,pass
shot_driver_45,128.9,5.1,-5.2,1635,2.9,D-S4-V0-P0,115-150,134.5,135.9,-1.4,134.5,-1.4,197.4,181.7,15.7,62.9,45.8,17.1,13.6,13.3,0.3,,,,false,severe
shot_driver_46,134.8,10.7,-2.4,3350,-6.5,D-S4-V1-P1,>200,205.0,204.1,0.9,205.0,0.9,210.5,215.2,-4.7,5.5,11.1,-5.6,56.8,59.2,-2.4,,,,false,pass
shot_driver_47,137.2,7.1,-4.3,2596,-12.1,D-S4-V0-P1,180-200,188.5,186.5,2.0,188.5,2.0,188.8,211.8,-23.0,0.3,25.3,-25.0,33.9,32.0,1.9,,,,false,severe
shot_driver_48,123.1,15.3,-4.2,4480,-6.8,D-S4-V1-P2,180-200,186.0,184.2,1.8,186.0,1.8,199.0,189.2,9.8,13.0,5.0,8.0,79.3,79.3,0.0,,,,false,moderate
shot_driver_49,123.5,18.7,3.8,5686,9.0,I-S4-V2-P3,180-200,183.1,180.1,3.0,183.1,3.0,204.7,182.6,22.1,21.6,2.5,19.1,130.1,104.1,26.0,,,,false,severe
shot_driver_50,135.5,4.2,-2.2,2365,-6.4,D-S4-V0-P0,,161.8,,,161.8,,219.1,,,57.3,,,17.2,,,,,,false,
shot_driver_51,133.6,4.9,-4.5,2290,-10.1,D-S4-V0-P0,,161.0,,,161.0,,218.2,,,57.2,,,18.8,,,,,,false,
shot_driver_52,79.0,47.6,1.9,6196,6.0,W-S1b-V4-P3,,76.7,,,76.7,,97.3,,,20.6,,,105.3,,,,,,false,
shot_lw_12,27.9,32.9,2.4,4104,-0.0,C-S0-V3-P2,,14.7,,,14.7,,22.6,,,7.9,,,7.4,,,,,,false,
shot_lw_13,27.5,40.5,3.5,6738,-0.0,C-S0-V4-P3,,15.4,,,15.4,,18.8,,,3.4,,,10.2,,,,,,false,
shot_lw_14,16.6,48.1,13.8,4134,20.1,C-S0-V4-P2,,5.9,,,5.9,,8.2,,,2.3,,,5.0,,,,,,false,
shot_lw_15,47.7,29.7,2.3,5999,-0.0,C-S0-V3-P3,<115,39.4,41.4,-2.0,39.4,-2.0,50.1,45.1,5.0,10.7,3.7,7.0,20.3,21.3,-1.0,,,,false,pass
shot_lw_16,52.6,37.2,5.6,5241,7.6,C-S0-V4-P2,<115,49.7,50.6,-0.9,49.7,-0.9,63.1,51.8,11.3,13.4,1.2,12.2,36.1,36.6,-0.5,,,,false,severe
shot_lw_17,55.4,37.4,7.3,5903,9.9,C-S0-V4-P3,<115,55.1,54.5,0.6,55.1,0.6,66.3,55.4,10.9,11.2,0.9,10.3,41.2,41.0,0.2,,,,false,severe
shot_lw_18,52.3,36.2,0.1,5374,13.2,C-S0-V4-P2,<115,49.1,50.0,-0.9,49.1,-0.9,60.3,51.3,9.0,11.2,1.3,9.9,34.1,34.7,-0.6,,,,false,moderate
shot_pw_1,48.4,29.0,5.6,4593,2.5,C-S0-V3-P2,<115,42.1,42.6,-0.5,42.1,-0.5,57.3,47.8,9.5,15.2,5.2,10.0,21.0,21.0,0.0,,,,false,moderate
shot_pw_10,83.6,25.2,1.4,5520,9.9,I-S1b-V3-P3,<115,105.5,105.5,0.0,105.5,0.0,111.5,107.9,3.6,6.0,2.4,3.6,54.4,59.2,-4.8,,,,false,pass
shot_pw_11,76.6,21.2,2.9,5232,-5.5,I-S1b-V2-P2,<115,88.4,89.9,-1.5,88.4,-1.5,90.0,94.2,-4.2,1.6,4.3,-2.7,34.2,37.9,-3.7,,,,false,pass
shot_pw_2,57.8,26.8,2.8,4564,2.1,C-S0-V3-P2,<115,59.7,57.9,1.8,59.7,1.8,78.8,61.9,16.9,19.1,4.0,15.1,28.4,27.4,1.0,,,,false,severe
shot_pw_3,69.8,29.4,8.1,6334,8.1,I-S1a-V3-P3,<115,76.6,79.4,-2.8,76.6,-2.8,91.0,80.6,10.4,14.4,1.2,13.2,46.3,48.8,-2.5,,,,false,severe
shot_pw_4,68.6,29.1,3.8,6801,6.8,I-S1a-V3-P3,<115,73.1,76.8,-3.7,73.1,-3.7,86.2,77.8,8.4,13.1,1.0,12.1,43.2,46.6,-3.4,,,,false,moderate
shot_pw_5,77.4,28.9,4.5,6294,7.3,I-S1b-V3-P3,<115,92.2,93.0,-0.8,92.2,-0.8,98.4,94.2,4.2,6.2,1.2,5.0,57.0,60.1,-3.1,,,,false,pass
shot_pw_6,76.3,28.2,3.7,5434,9.1,I-S1b-V3-P2,<115,94.1,92.3,1.8,94.1,1.8,100.6,94.4,6.2,6.5,2.1,4.4,53.7,55.8,-2.1,,,,false,moderate
shot_pw_7,79.7,28.1,4.4,5840,9.1,I-S1b-V3-P3,<115,97.6,97.9,-0.3,97.6,-0.3,105.3,99.5,5.8,7.7,1.6,6.1,57.6,61.5,-3.9,,,,false,moderate
shot_pw_8,76.4,28.2,1.6,5024,4.7,I-S1b-V3-P2,<115,93.5,93.4,0.1,93.5,0.1,101.1,95.9,5.2,7.6,2.5,5.1,53.7,55.9,-2.2,,,,false,moderate
shot_pw_9,86.4,24.1,0.2,5480,3.7,I-S2-V2-P2,<115,109.7,111.1,-1.4,109.7,-1.4,116.9,113.7,3.2,7.2,2.6,4.6,54.7,60.9,-6.2,,,,false,pass
