shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_1,shot_1.json,18.82,35.31,-3.37,3729.2,-0.00,3729.2,-0.0,7.0,11.1,4.1,3.8,0.98,7.93,36.47,23028.8,0.990462,0.575854,0.000000,0.000000,7.0
shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,118.5,126.6,8.0,66.0,4.74,22.09,47.71,109779.2,0.359143,0.239233,0.228748,0.289487,118.5
shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,90.4,94.7,4.3,59.4,4.30,20.28,49.11,96081.2,0.467873,0.288782,0.274776,0.305820,90.4
shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,119.9,125.9,6.0,66.2,4.82,21.79,46.88,111117.8,0.399648,0.251607,0.243274,0.311339,119.9
shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,126.5,131.9,5.3,52.3,4.34,23.16,39.57,116536.1,0.294416,0.228829,0.235762,0.269484,126.5
shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,110.6,115.4,4.8,49.8,4.14,22.08,40.74,106633.6,0.324668,0.239891,0.224737,0.268263,110.6
shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,100.3,100.4,0.1,26.9,3.23,23.71,25.64,107862.6,0.282684,0.238022,0.258753,0.279747,100.3
shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,124.0,130.3,6.3,51.8,4.30,23.02,40.64,115119.9,0.281118,0.229885,0.262224,0.274710,124.0
shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,189.8,198.3,8.4,67.9,5.25,26.99,36.41,150434.8,0.167473,0.218713,0.195165,0.200074,189.8
shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,151.1,163.4,12.3,83.0,5.35,24.22,51.54,129323.3,0.268011,0.225675,0.290900,0.290900,151.1
shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,196.7,202.6,5.9,56.1,4.86,29.59,28.83,157373.2,0.097695,0.208119,0.163440,0.165323,196.7
shot_2,shot_2.json,18.59,33.32,-2.15,3688.3,-0.00,3688.3,-0.0,6.7,10.9,4.1,3.4,0.92,7.85,34.40,22755.1,0.991373,0.575854,0.000000,0.000000,6.7
shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,185.4,196.8,11.4,70.3,5.28,26.60,38.86,147934.6,0.175515,0.219317,0.199410,0.214008,185.4
shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,159.8,214.2,54.4,24.8,3.52,33.30,16.10,155855.5,0.091079,0.206284,0.169690,0.170540,159.8
shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,190.0,197.1,7.1,61.4,5.01,28.19,31.91,150883.1,0.125832,0.209373,0.179061,0.180985,190.0
shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,165.4,165.4,0.0,31.0,3.83,31.55,19.29,153607.5,0.121944,0.210229,0.180025,0.181025,165.4
shot_24,shot_24.json,121.48,14.53,-11.23,3172.9,-6.80,3150.6,-375.5,187.7,196.2,8.5,62.7,5.04,27.83,32.84,148670.3,0.130533,0.209001,0.181227,0.183167,187.7
shot_25,shot_25.json,127.22,4.99,-12.57,2671.0,-16.25,2564.3,-747.4,148.5,203.2,54.6,16.9,3.18,34.37,12.34,155698.6,0.104925,0.208362,0.181392,0.182042,148.5
shot_26,shot_26.json,116.97,18.42,-2.02,5035.4,9.70,4963.4,848.2,172.4,194.8,22.4,111.6,6.15,25.80,58.18,143143.6,0.215155,0.228401,0.284498,0.319321,172.4
shot_27,shot_27.json,112.96,17.59,-2.26,4291.5,12.21,4194.4,907.8,167.1,182.4,15.3,78.4,5.29,25.68,46.76,138244.2,0.189868,0.217944,0.222482,0.263952,167.1
shot_3,shot_3.json,30.72,32.94,-2.80,4070.1,-0.00,4070.1,-0.0,16.9,25.4,8.5,8.7,1.48,11.91,36.15,37591.2,0.662227,0.624945,0.091740,0.091740,16.9
shot_4,shot_4.json,41.63,35.25,-0.96,5228.9,5.22,5207.3,475.4,29.1,37.6,8.5,18.0,2.13,14.48,42.34,50942.2,0.627805,0.679750,0.286567,0.286567,29.1
