shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_1,18.8,35.3,-3.4,3729,-0.0,C-S0-V4-P1,,7.2,,,7.2,,11.4,,,4.2,,,3.9,,,,,,false,
shot_10,89.7,25.5,-3.1,6446,6.2,I-S2-V3-P3,115-150,118.5,115.1,3.4,118.5,3.4,126.6,116.4,10.2,8.1,1.3,6.8,66.0,72.0,-6.0,,,,false,severe
shot_11,78.5,29.6,4.3,7350,10.7,I-S1b-V3-P3,<115,91.9,93.0,-1.1,91.9,-1.1,96.4,93.6,2.8,4.5,0.6,3.9,60.4,64.0,-3.6,,,,false,pass
shot_12,90.8,24.5,-3.9,7261,4.9,I-S2-V2-P3,115-150,116.6,115.4,1.2,116.6,1.2,122.4,116.4,6.0,5.8,1.0,4.8,65.1,71.5,-6.4,,,,false,moderate
shot_13,95.2,19.6,-1.1,5610,12.2,I-S2-V2-P3,115-150,123.5,125.3,-1.8,123.5,-1.8,128.0,128.7,-0.7,4.5,3.4,1.1,51.3,58.4,-7.1,,,,false,pass
shot_14,87.1,22.4,-2.0,5660,11.4,I-S2-V2-P3,<115,108.1,110.9,-2.8,108.1,-2.8,112.2,113.7,-1.5,4.1,2.8,1.3,49.1,55.9,-6.8,,,,false,pass
shot_15,88.1,14.2,-0.3,4985,19.4,I-S2-V1-P2,<115,98.0,101.3,-3.3,98.0,-3.3,98.0,113.1,-15.1,0.0,11.8,-11.8,26.1,28.9,-2.8,,,,false,severe
shot_16,94.1,19.1,-5.9,5291,5.0,I-S2-V2-P2,115-150,123.8,124.3,-0.5,123.8,-0.5,129.9,128.1,1.8,6.1,3.8,2.3,51.5,55.3,-3.8,,,,false,pass
shot_17,122.9,14.4,-1.3,4119,6.7,D-S4-V1-P2,180-200,185.0,184.0,1.0,185.0,1.0,195.0,190.3,4.7,10.0,6.3,3.7,66.6,71.8,-5.2,,,,false,pass
shot_18,105.7,20.5,-1.7,5667,8.2,I-S3-V2-P3,115-150,144.6,146.8,-2.2,144.6,-2.2,154.6,149.4,5.2,10.0,2.6,7.4,76.1,80.4,-4.3,,,,false,moderate
shot_19,128.6,12.5,-8.4,2514,5.1,D-S4-V1-P1,180-200,192.4,194.5,-2.1,192.4,-2.1,198.2,208.7,-10.5,5.8,14.2,-8.4,55.1,57.3,-2.2,,,,false,severe
shot_2,18.6,33.3,-2.1,3688,-0.0,C-S0-V4-P1,,6.9,,,6.9,,11.3,,,4.4,,,3.4,,,,,,false,
shot_20,120.9,15.0,-3.0,4245,9.6,D-S4-V1-P2,150-180,180.8,179.4,1.4,180.8,1.4,191.2,185.3,5.9,10.4,5.9,4.5,69.0,72.3,-3.3,,,,false,moderate
shot_21,127.3,7.2,-11.5,2321,-19.5,D-S4-V0-P0,150-180,159.8,154.9,4.9,159.8,4.9,214.2,186.5,27.7,54.4,31.6,22.8,24.8,23.1,1.7,,,,false,severe
shot_22,123.3,14.0,-6.1,3104,10.0,D-S4-V1-P1,180-200,186.0,185.4,0.6,186.0,0.6,193.1,195.5,-2.4,7.1,10.1,-3.0,60.3,63.0,-2.7,,,,false,pass
shot_23,125.5,8.6,-14.3,3062,-23.9,D-S4-V0-P1,150-180,161.1,161.9,-0.8,161.1,-0.8,161.1,185.0,-23.9,0.0,23.1,-23.1,29.8,31.0,-1.2,,,,false,severe
shot_24,121.5,14.5,-11.2,3173,-6.8,D-S4-V1-P1,180-200,183.5,183.0,0.5,183.5,0.5,191.3,192.8,-1.5,7.8,9.8,-2.0,61.6,64.6,-3.0,,,,false,pass
shot_25,127.2,5.0,-12.6,2671,-16.2,D-S4-V0-P1,,143.4,,,143.4,,198.0,,,54.6,,,16.0,,,,,,false,
shot_26,117.0,18.4,-2.0,5035,9.7,I-S3-V2-P2,150-180,172.6,170.7,1.9,172.6,1.9,195.8,174.2,21.6,23.2,3.5,19.7,108.5,88.1,20.4,,,,false,severe
shot_27,113.0,17.6,-2.3,4292,12.2,D-S3-V1-P2,150-180,162.8,164.5,-1.7,162.8,-1.7,177.9,169.6,8.3,15.1,5.1,10.0,75.7,73.6,2.1,,,,false,moderate
shot_3,30.7,32.9,-2.8,4070,-0.0,C-S0-V3-P2,,17.5,,,17.5,,26.8,,,9.3,,,8.9,,,,,,false,
shot_4,41.6,35.2,-1.0,5229,5.2,C-S0-V4-P2,,31.5,,,31.5,,41.4,,,9.9,,,19.2,,,,,,false,
shot_5,34.0,35.1,-1.2,4487,-0.0,C-S0-V4-P2,,21.8,,,21.8,,30.7,,,8.9,,,12.3,,,,,,false,
shot_6,34.8,36.4,-0.6,4515,0.9,C-S0-V4-P2,,22.9,,,22.9,,31.9,,,9.0,,,13.7,,,,,,false,
shot_7,41.4,18.0,-7.7,3110,-0.0,C-S0-V2-P1,,23.1,,,23.1,,42.7,,,19.6,,,6.1,,,,,,false,
shot_8,43.1,12.6,7.9,2821,18.9,C-S0-V1-P1,,17.1,,,17.1,,39.4,,,22.3,,,3.0,,,,,,false,
shot_9,94.4,20.1,2.4,4020,16.3,I-S2-V2-P2,115-150,122.9,126.5,-3.6,122.9,-3.6,134.8,132.5,2.3,11.9,6.0,5.9,60.6,54.8,5.8,,,,false,moderate
