shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_3w_31,shot_3w_31.json,106.87,15.70,-2.35,3662.0,8.88,3618.1,565.0,150.2,155.2,5.0,50.1,4.38,26.18,32.87,130789.1,0.171252,0.210355,0.196436,0.200255,150.2
shot_3w_32,shot_3w_32.json,105.45,18.52,-1.38,5714.3,2.28,5709.8,227.6,151.5,161.0,9.5,73.3,5.15,24.05,47.77,129048.7,0.270835,0.225641,0.285043,0.285043,151.5
shot_3w_33,shot_3w_33.json,99.72,20.51,0.54,6997.1,1.55,6994.5,189.5,141.2,146.6,5.4,64.6,4.91,23.18,42.08,122038.2,0.350680,0.228092,0.227464,0.275632,141.2
shot_3w_34,shot_3w_34.json,114.64,15.34,2.39,3501.5,12.77,3414.9,773.8,170.2,177.6,7.4,57.8,4.77,27.04,33.29,140301.3,0.152646,0.209194,0.190146,0.191892,170.2
shot_3w_35,shot_3w_35.json,117.92,14.40,3.60,3735.1,13.26,3635.5,856.4,176.4,183.0,6.6,58.0,4.84,27.21,32.56,144310.5,0.158303,0.212688,0.192141,0.194001,176.4
shot_5i_25,shot_5i_25.json,89.08,16.71,1.13,5261.8,6.18,5231.2,566.6,107.9,108.9,1.0,34.6,3.60,23.08,30.58,109019.3,0.295205,0.236399,0.234521,0.273054,107.9
shot_5i_26,shot_5i_26.json,106.31,15.46,-3.63,4114.0,3.40,4106.7,244.1,151.8,160.9,9.1,57.4,4.68,25.10,39.73,130101.2,0.193407,0.216315,0.230481,0.255329,151.8
shot_5i_27,shot_5i_27.json,84.90,6.99,5.73,2262.9,30.00,1959.8,1131.5,53.3,102.9,49.6,5.6,1.45,30.54,8.85,103903.1,0.133209,0.218300,0.193948,0.193948,53.3
shot_5i_28,shot_5i_28.json,86.01,15.91,-1.64,4178.9,1.01,4178.3,73.4,102.9,107.7,4.8,37.2,3.63,22.47,36.73,105257.7,0.242831,0.242165,0.319320,0.319320,102.9
shot_5i_29,shot_5i_29.json,76.23,6.14,0.67,3695.3,-0.00,3695.3,-0.0,52.5,87.1,34.6,5.3,1.64,25.70,9.42,93294.5,0.242265,0.270941,0.319309,0.319310,52.5
