shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_lw_51,32.2,29.4,9.6,5077,14.1,C-S0-V3-P2,,18.2,,,18.2,,26.3,,,8.1,,,8.1,,,,,,false,
shot_lw_52,31.0,52.0,-0.1,3965,15.1,C-S0-V4-P1,,18.5,,,18.5,,24.8,,,6.3,,,18.7,,,,,,false,
shot_pw_1,69.8,20.1,-0.6,3577,8.0,I-S1a-V2-P1,<115,73.5,74.8,-1.3,73.5,-1.3,76.8,83.7,-6.9,3.3,8.9,-5.6,28.8,26.2,2.6,,,,false,moderate
shot_pw_10,76.3,26.8,0.7,5989,4.9,I-S1b-V3-P3,<115,90.4,91.5,-1.1,90.4,-1.1,95.1,93.2,1.9,4.7,1.7,3.0,49.4,52.8,-3.4,,,,false,pass
shot_pw_11,76.3,27.4,-0.6,6296,5.2,I-S1b-V3-P3,<115,90.0,91.1,-1.1,90.0,-1.1,94.0,92.5,1.5,4.0,1.4,2.6,51.2,54.2,-3.0,,,,false,pass
shot_pw_2,53.2,25.0,0.2,4085,3.0,C-S0-V2-P2,<115,48.9,48.5,0.4,48.9,0.4,68.2,56.0,12.2,19.3,7.5,11.8,20.6,20.2,0.4,,,,false,severe
shot_pw_3,62.8,31.1,6.6,6129,6.3,W-S1a-V3-P3,<115,65.8,67.3,-1.5,65.8,-1.5,79.9,68.6,11.3,14.1,1.3,12.8,40.7,41.8,-1.1,,,,false,severe
shot_pw_4,40.1,4.8,16.4,2730,20.4,C-S0-V0-P1,,6.4,,,6.4,,31.7,,,25.3,,,0.4,,,,,,false,
shot_pw_47,46.7,24.6,2.3,3699,-0.0,C-S0-V2-P1,<115,36.8,37.4,-0.6,36.8,-0.6,54.7,45.2,9.5,17.9,7.8,10.1,14.6,14.6,0.0,,,,false,moderate
shot_pw_48,46.5,25.5,3.8,4318,0.6,C-S0-V3-P2,<115,37.2,37.9,-0.7,37.2,-0.7,52.9,44.5,8.4,15.7,6.6,9.1,15.6,15.6,0.0,,,,false,moderate
shot_pw_49,60.3,22.6,3.5,4044,5.0,I-S1a-V2-P2,<115,57.1,59.3,-2.2,57.1,-2.2,78.6,68.0,10.6,21.5,8.7,12.8,22.5,22.8,-0.3,,,,false,severe
shot_pw_5,28.7,9.0,7.2,2764,-0.0,C-S0-V0-P1,,5.7,,,5.7,,18.9,,,13.2,,,0.7,,,,,,false,
shot_pw_6,68.7,26.1,1.1,4149,8.2,I-S1a-V3-P2,<115,77.1,78.4,-1.3,77.1,-1.3,83.0,83.1,-0.1,5.9,4.7,1.2,38.4,38.6,-0.2,,,,false,pass
shot_pw_7,76.8,25.2,3.7,6565,8.2,I-S1b-V3-P3,<115,90.6,91.1,-0.5,90.6,-0.5,93.3,92.6,0.7,2.7,1.5,1.2,46.6,49.5,-2.9,,,,false,pass
shot_pw_8,33.3,17.4,4.2,3183,-0.0,C-S0-V1-P1,,14.0,,,14.0,,28.8,,,14.8,,,3.4,,,,,,false,
shot_pw_9,76.6,28.6,4.9,7133,5.7,I-S1b-V3-P3,,88.9,,,88.9,,92.6,,,3.7,,,54.9,,,,,,false,
